code,text
B02,Zoster [Herpes zoster]
B03,Pocken
B04,Affenpocken
B05,Masern
B06,Röteln [Rubeola] [Rubella]
B07,Viruswarzen
B08,"Sonstige Virusinfektionen, die durch Haut- und Schleimhautläsionen gekennzeichnet sind, anderenorts nicht klassifiziert"
B09,"Nicht näher bezeichnete Virusinfektion, die durch Haut- und Schleimhautläsionen gekennzeichnet ist"
B15,Akute Virushepatitis A
B16,Akute Virushepatitis B
B17,Sonstige akute Virushepatitis
B18,Chronische Virushepatitis
B19,Nicht näher bezeichnete Virushepatitis
B20,Infektiöse und parasitäre Krankheiten infolge HIV-Krankheit [Humane Immundefizienz-Viruskrankheit]
B21,Bösartige Neubildungen infolge HIV-Krankheit [Humane Immundefizienz-Viruskrankheit]
B22,Sonstige näher bezeichnete Krankheiten infolge HIV-Krankheit [Humane Immundefizienz-Viruskrankheit]
B23,Sonstige Krankheitszustände infolge HIV-Krankheit [Humane Immundefizienz-Viruskrankheit]
B24,Nicht näher bezeichnete HIV-Krankheit [Humane Immundefizienz-Viruskrankheit]
B25,Zytomegalie
B26,Mumps
B27,Infektiöse Mononukleose
B30,Viruskonjunktivitis
B33,"Sonstige Viruskrankheiten, anderenorts nicht klassifiziert"
B34,Viruskrankheit nicht näher bezeichneter Lokalisation
B35,Dermatophytose [Tinea]
B36,Sonstige oberflächliche Mykosen
B37,Kandidose
B38,Kokzidioidomykose
B39,Histoplasmose
B40,Blastomykose
B41,Parakokzidioidomykose
B42,Sporotrichose
B43,Chromomykose und chromomykotischer Abszess
B44,Aspergillose
B45,Kryptokokkose
B46,Zygomykose
B47,Myzetom
B48,"Sonstige Mykosen, anderenorts nicht klassifiziert"
B49,Nicht näher bezeichnete Mykose
B50,Malaria tropica durch Plasmodium falciparum
B51,Malaria tertiana durch Plasmodium vivax
B52,Malaria quartana durch Plasmodium malariae
B53,Sonstige parasitologisch bestätigte Malaria
B54,"Malaria, nicht näher bezeichnet"
B55,Leishmaniose
B56,Afrikanische Trypanosomiasis
B57,Chagas-Krankheit
B58,Toxoplasmose
B60,"Sonstige Protozoenkrankheiten, anderenorts nicht klassifiziert"
B64,Nicht näher bezeichnete Protozoenkrankheit
B65,Schistosomiasis [Bilharziose]
B66,Befall durch sonstige Trematoden [Egel]
B67,Echinokokkose
B68,Taeniasis
B69,Zystizerkose
B70,Diphyllobothriose und Sparganose
B71,Befall durch sonstige Zestoden
B72,Drakunkulose
B73,Onchozerkose
B74,Filariose
B75,Trichinellose
B76,Hakenwurm-Krankheit
B77,Askaridose
B78,Strongyloidiasis
B79,Trichuriasis
B80,Enterobiasis
B81,"Sonstige intestinale Helminthosen, anderenorts nicht klassifiziert"
B82,Nicht näher bezeichneter intestinaler Parasitismus
B83,Sonstige Helminthosen
B85,Pedikulose [Läusebefall] und Phthiriasis [Filzläusebefall]
B86,Skabies
B87,Myiasis
B88,Sonstiger Parasitenbefall der Haut
B89,Nicht näher bezeichnete parasitäre Krankheit
B90,Folgezustände der Tuberkulose
B91,Folgezustände der Poliomyelitis
B92,Folgezustände der Lepra
B94,Folgezustände sonstiger und nicht näher bezeichneter infektiöser und parasitärer Krankheiten
B95,"Streptokokken und Staphylokokken als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
B96,"Sonstige näher bezeichnete Bakterien als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
B97,"Viren als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
B98,"Sonstige näher bezeichnete infektiöse Erreger als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
B99,Sonstige und nicht näher bezeichnete Infektionskrankheiten
C00,Bösartige Neubildung der Lippe
C01,Bösartige Neubildung des Zungengrundes
C02,Bösartige Neubildung sonstiger und nicht näher bezeichneter Teile der Zunge
C03,Bösartige Neubildung des Zahnfleisches
C04,Bösartige Neubildung des Mundbodens
C05,Bösartige Neubildung des Gaumens
C06,Bösartige Neubildung sonstiger und nicht näher bezeichneter Teile des Mundes
C07,Bösartige Neubildung der Parotis
C08,Bösartige Neubildung sonstiger und nicht näher bezeichneter großer Speicheldrüsen
C09,Bösartige Neubildung der Tonsille
C10,Bösartige Neubildung des Oropharynx
C11,Bösartige Neubildung des Nasopharynx
C12,Bösartige Neubildung des Recessus piriformis
C13,Bösartige Neubildung des Hypopharynx
C14,"Bösartige Neubildung sonstiger und ungenau bezeichneter Lokalisationen der Lippe, der Mundhöhle und des Pharynx"
C15,Bösartige Neubildung des Ösophagus
C16,Bösartige Neubildung des Magens
C17,Bösartige Neubildung des Dünndarmes
C18,Bösartige Neubildung des Kolons
C19,"Bösartige Neubildung am Rektosigmoid, Übergang"
C20,Bösartige Neubildung des Rektums
C21,Bösartige Neubildung des Anus und des Analkanals
C22,Bösartige Neubildung der Leber und der intrahepatischen Gallengänge
C23,Bösartige Neubildung der Gallenblase
C24,Bösartige Neubildung sonstiger und nicht näher bezeichneter Teile der Gallenwege
C25,Bösartige Neubildung des Pankreas
C26,Bösartige Neubildung sonstiger und ungenau bezeichneter Verdauungsorgane
C30,Bösartige Neubildung der Nasenhöhle und des Mittelohres
C31,Bösartige Neubildung der Nasennebenhöhlen
C32,Bösartige Neubildung des Larynx
C33,Bösartige Neubildung der Trachea
C34,Bösartige Neubildung der Bronchien und der Lunge
C37,Bösartige Neubildung des Thymus
C38,"Bösartige Neubildung des Herzens, des Mediastinums und der Pleura"
C39,Bösartige Neubildung sonstiger und ungenau bezeichneter Lokalisationen des Atmungssystems und sonstiger intrathorakaler Organe
C40,Bösartige Neubildung des Knochens und des Gelenkknorpels der Extremitäten
C41,Bösartige Neubildung des Knochens und des Gelenkknorpels sonstiger und nicht näher bezeichneter Lokalisationen
C43,Bösartiges Melanom der Haut
C44,Sonstige bösartige Neubildungen der Haut
C45,Mesotheliom
C46,Kaposi-Sarkom [Sarcoma idiopathicum multiplex haemorrhagicum]
C47,Bösartige Neubildung der peripheren Nerven und des autonomen Nervensystems
C48,Bösartige Neubildung des Retroperitoneums und des Peritoneums
C49,Bösartige Neubildung sonstigen Bindegewebes und anderer Weichteilgewebe
C50,Bösartige Neubildung der Brustdrüse [Mamma]
C51,Bösartige Neubildung der Vulva
C52,Bösartige Neubildung der Vagina
C53,Bösartige Neubildung der Cervix uteri
C54,Bösartige Neubildung des Corpus uteri
C55,"Bösartige Neubildung des Uterus, Teil nicht näher bezeichnet"
C56,Bösartige Neubildung des Ovars
C57,Bösartige Neubildung sonstiger und nicht näher bezeichneter weiblicher Genitalorgane
C58,Bösartige Neubildung der Plazenta
C60,Bösartige Neubildung des Penis
C61,Bösartige Neubildung der Prostata
C62,Bösartige Neubildung des Hodens
C63,Bösartige Neubildung sonstiger und nicht näher bezeichneter männlicher Genitalorgane
C64,"Bösartige Neubildung der Niere, ausgenommen Nierenbecken"
C65,Bösartige Neubildung des Nierenbeckens
C66,Bösartige Neubildung des Ureters
C67,Bösartige Neubildung der Harnblase
C68,Bösartige Neubildung sonstiger und nicht näher bezeichneter Harnorgane
C69,Bösartige Neubildung des Auges und der Augenanhangsgebilde
C70,Bösartige Neubildung der Meningen
C71,Bösartige Neubildung des Gehirns
C72,"Bösartige Neubildung des Rückenmarkes, der Hirnnerven und anderer Teile des Zentralnervensystems"
C73,Bösartige Neubildung der Schilddrüse
C74,Bösartige Neubildung der Nebenniere
C75,Bösartige Neubildung sonstiger endokriner Drüsen und verwandter Strukturen
C76,Bösartige Neubildung sonstiger und ungenau bezeichneter Lokalisationen
C77,Sekundäre und nicht näher bezeichnete bösartige Neubildung der Lymphknoten
C78,Sekundäre bösartige Neubildung der Atmungs- und Verdauungsorgane
C79,Sekundäre bösartige Neubildung an sonstigen und nicht näher bezeichneten Lokalisationen
C80,Bösartige Neubildung ohne Angabe der Lokalisation
C81,Hodgkin-Lymphom [Lymphogranulomatose]
C82,Follikuläres Lymphom
C83,Nicht follikuläres Lymphom
C84,Reifzellige T/NK-Zell-Lymphome
C85,Sonstige und nicht näher bezeichnete Typen des Non-Hodgkin-Lymphoms
C86,Weitere spezifizierte T/NK-Zell-Lymphome
C88,Bösartige immunproliferative Krankheiten
C90,Plasmozytom und bösartige Plasmazellen-Neubildungen
C91,Lymphatische Leukämie
C92,Myeloische Leukämie
C93,Monozytenleukämie
C94,Sonstige Leukämien näher bezeichneten Zelltyps
C95,Leukämie nicht näher bezeichneten Zelltyps
C96,"Sonstige und nicht näher bezeichnete bösartige Neubildungen des lymphatischen, blutbildenden und verwandten Gewebes"
C97,Bösartige Neubildungen als Primärtumoren an mehreren Lokalisationen
D00,"Carcinoma in situ der Mundhöhle, des Ösophagus und des Magens"
D01,Carcinoma in situ sonstiger und nicht näher bezeichneter Verdauungsorgane
D02,Carcinoma in situ des Mittelohres und des Atmungssystems
D03,Melanoma in situ
D04,Carcinoma in situ der Haut
D05,Carcinoma in situ der Brustdrüse [Mamma]
D06,Carcinoma in situ der Cervix uteri
D07,Carcinoma in situ sonstiger und nicht näher bezeichneter Genitalorgane
D09,Carcinoma in situ sonstiger und nicht näher bezeichneter Lokalisationen
D10,Gutartige Neubildung des Mundes und des Pharynx
D11,Gutartige Neubildung der großen Speicheldrüsen
D12,"Gutartige Neubildung des Kolons, des Rektums, des Analkanals und des Anus"
D13,Gutartige Neubildung sonstiger und ungenau bezeichneter Teile des Verdauungssystems
D14,Gutartige Neubildung des Mittelohres und des Atmungssystems
D15,Gutartige Neubildung sonstiger und nicht näher bezeichneter intrathorakaler Organe
D16,Gutartige Neubildung des Knochens und des Gelenkknorpels
D17,Gutartige Neubildung des Fettgewebes
D18,Hämangiom und Lymphangiom
D19,Gutartige Neubildung des mesothelialen Gewebes
D20,Gutartige Neubildung des Weichteilgewebes des Retroperitoneums und des Peritoneums
D21,Sonstige gutartige Neubildungen des Bindegewebes und anderer Weichteilgewebe
D22,Melanozytennävus
D23,Sonstige gutartige Neubildungen der Haut
D24,Gutartige Neubildung der Brustdrüse [Mamma]
D25,Leiomyom des Uterus
D26,Sonstige gutartige Neubildungen des Uterus
D27,Gutartige Neubildung des Ovars
D28,Gutartige Neubildung sonstiger und nicht näher bezeichneter weiblicher Genitalorgane
D29,Gutartige Neubildung der männlichen Genitalorgane
D30,Gutartige Neubildung der Harnorgane
D31,Gutartige Neubildung des Auges und der Augenanhangsgebilde
D32,Gutartige Neubildung der Meningen
D33,Gutartige Neubildung des Gehirns und anderer Teile des Zentralnervensystems
D34,Gutartige Neubildung der Schilddrüse
D35,Gutartige Neubildung sonstiger und nicht näher bezeichneter endokriner Drüsen
D36,Gutartige Neubildung an sonstigen und nicht näher bezeichneten Lokalisationen
D37,Neubildung unsicheren oder unbekannten Verhaltens der Mundhöhle und der Verdauungsorgane
D38,"Neubildung unsicheren oder unbekannten Verhaltens des Mittelohres, der Atmungsorgane und der intrathorakalen Organe"
D39,Neubildung unsicheren oder unbekannten Verhaltens der weiblichen Genitalorgane
D40,Neubildung unsicheren oder unbekannten Verhaltens der männlichen Genitalorgane
D41,Neubildung unsicheren oder unbekannten Verhaltens der Harnorgane
D42,Neubildung unsicheren oder unbekannten Verhaltens der Meningen
D43,Neubildung unsicheren oder unbekannten Verhaltens des Gehirns und des Zentralnervensystems
D44,Neubildung unsicheren oder unbekannten Verhaltens der endokrinen Drüsen
D45,Polycythaemia vera
D46,Myelodysplastische Syndrome
D47,"Sonstige Neubildungen unsicheren oder unbekannten Verhaltens des lymphatischen, blutbildenden und verwandten Gewebes"
D48,Neubildung unsicheren oder unbekannten Verhaltens an sonstigen und nicht näher bezeichneten Lokalisationen
D50,Eisenmangelanämie
D51,Vitamin-B12-Mangelanämie
D52,Folsäure-Mangelanämie
D53,Sonstige alimentäre Anämien
D55,Anämie durch Enzymdefekte
D56,Thalassämie
D57,Sichelzellenkrankheiten
D58,Sonstige hereditäre hämolytische Anämien
D59,Erworbene hämolytische Anämien
D60,Erworbene isolierte aplastische Anämie [Erythroblastopenie] [pure red cell aplasia]
D61,Sonstige aplastische Anämien
D62,Akute Blutungsanämie
D63,"Anämie bei chronischen, anderenorts klassifizierten Krankheiten"
D64,Sonstige Anämien
D65,Disseminierte intravasale Gerinnung [Defibrinationssyndrom]
D66,Hereditärer Faktor-VIII-Mangel
D67,Hereditärer Faktor-IX-Mangel
D68,Sonstige Koagulopathien
D69,Purpura und sonstige hämorrhagische Diathesen
D70,Agranulozytose und Neutropenie
D71,Funktionelle Störungen der neutrophilen Granulozyten
D72,Sonstige Krankheiten der Leukozyten
D73,Krankheiten der Milz
D74,Methämoglobinämie
D75,Sonstige Krankheiten des Blutes und der blutbildenden Organe
D76,Sonstige näher bezeichnete Krankheiten mit Beteiligung des lymphoretikulären Gewebes und des retikulohistiozytären Systems
D77,Sonstige Krankheiten des Blutes und der blutbildenden Organe bei anderenorts klassifizierten Krankheiten
D80,Immundefekt mit vorherrschendem Antikörpermangel
D81,Kombinierte Immundefekte
D82,Immundefekt in Verbindung mit anderen schweren Defekten
D83,Variabler Immundefekt [common variable immunodeficiency]
D84,Sonstige Immundefekte
D86,Sarkoidose
D89,"Sonstige Störungen mit Beteiligung des Immunsystems, anderenorts nicht klassifiziert"
D90,"Immunkompromittierung nach Bestrahlung, Chemotherapie und sonstigen immunsuppressiven Maßnahmen"
E00,Angeborenes Jodmangelsyndrom
E01,Jodmangelbedingte Schilddrüsenkrankheiten und verwandte Zustände
E02,Subklinische Jodmangel-Hypothyreose
E03,Sonstige Hypothyreose
E04,Sonstige nichttoxische Struma
E05,Hyperthyreose [Thyreotoxikose]
E06,Thyreoiditis
E07,Sonstige Krankheiten der Schilddrüse
E10,"Diabetes mellitus, Typ 1"
E11,"Diabetes mellitus, Typ 2"
E12,Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]
E13,Sonstiger näher bezeichneter Diabetes mellitus
E14,Nicht näher bezeichneter Diabetes mellitus
E15,"Hypoglykämisches Koma, nichtdiabetisch"
E16,Sonstige Störungen der inneren Sekretion des Pankreas
E20,Hypoparathyreoidismus
E21,Hyperparathyreoidismus und sonstige Krankheiten der Nebenschilddrüse
E22,Überfunktion der Hypophyse
E23,Unterfunktion und andere Störungen der Hypophyse
E24,Cushing-Syndrom
E25,Adrenogenitale Störungen
E26,Hyperaldosteronismus
E27,Sonstige Krankheiten der Nebenniere
E28,Ovarielle Dysfunktion
E29,Testikuläre Dysfunktion
E30,"Pubertätsstörungen, anderenorts nicht klassifiziert"
E31,Polyglanduläre Dysfunktion
E32,Krankheiten des Thymus
E34,Sonstige endokrine Störungen
E35,Störungen der endokrinen Drüsen bei anderenorts klassifizierten Krankheiten
E40,Kwashiorkor
E41,Alimentärer Marasmus
E42,Kwashiorkor-Marasmus
E43,Nicht näher bezeichnete erhebliche Energie- und Eiweißmangelernährung
E44,Energie- und Eiweißmangelernährung mäßigen und leichten Grades
E45,Entwicklungsverzögerung durch Energie- und Eiweißmangelernährung
E46,Nicht näher bezeichnete Energie- und Eiweißmangelernährung
E50,Vitamin-A-Mangel
E51,Thiaminmangel [Vitamin-B1-Mangel]
E52,Niazinmangel [Pellagra]
E53,Mangel an sonstigen Vitaminen des Vitamin-B-Komplexes
E54,Ascorbinsäuremangel
E55,Vitamin-D-Mangel
E56,Sonstige Vitaminmangelzustände
E58,Alimentärer Kalziummangel
E59,Alimentärer Selenmangel
E60,Alimentärer Zinkmangel
E61,Mangel an sonstigen Spurenelementen
E63,Sonstige alimentäre Mangelzustände
E64,Folgen von Mangelernährung oder sonstigen alimentären Mangelzuständen
E65,Lokalisierte Adipositas
E66,Adipositas
E67,Sonstige Überernährung
E68,Folgen der Überernährung
E70,Störungen des Stoffwechsels aromatischer Aminosäuren
E71,Störungen des Stoffwechsels verzweigter Aminosäuren und des Fettsäurestoffwechsels
E72,Sonstige Störungen des Aminosäurestoffwechsels
E73,Laktoseintoleranz
E74,Sonstige Störungen des Kohlenhydratstoffwechsels
E75,Störungen des Sphingolipidstoffwechsels und sonstige Störungen der Lipidspeicherung
E76,Störungen des Glykosaminoglykan-Stoffwechsels
E77,Störungen des Glykoproteinstoffwechsels
E78,Störungen des Lipoproteinstoffwechsels und sonstige Lipidämien
E79,Störungen des Purin- und Pyrimidinstoffwechsels
E80,Störungen des Porphyrin- und Bilirubinstoffwechsels
E83,Störungen des Mineralstoffwechsels
E84,Zystische Fibrose
E85,Amyloidose
E86,Volumenmangel
E87,Sonstige Störungen des Wasser- und Elektrolythaushaltes sowie des Säure-Basen-Gleichgewichts
E88,Sonstige Stoffwechselstörungen
E89,"Endokrine und Stoffwechselstörungen nach medizinischen Maßnahmen, anderenorts nicht klassifiziert"
E90,Ernährungs- und Stoffwechselstörungen bei anderenorts klassifizierten Krankheiten
F00,Demenz bei Alzheimer-Krankheit
F01,Vaskuläre Demenz
F02,Demenz bei anderenorts klassifizierten Krankheiten
F03,Nicht näher bezeichnete Demenz
F04,"Organisches amnestisches Syndrom, nicht durch Alkohol oder andere psychotrope Substanzen bedingt"
F05,"Delir, nicht durch Alkohol oder andere psychotrope Substanzen bedingt"
F06,Andere psychische Störungen aufgrund einer Schädigung oder Funktionsstörung des Gehirns oder einer körperlichen Krankheit
F07,"Persönlichkeits- und Verhaltensstörung aufgrund einer Krankheit, Schädigung oder Funktionsstörung des Gehirns"
F09,Nicht näher bezeichnete organische oder symptomatische psychische Störung
F10,Psychische und Verhaltensstörungen durch Alkohol
F11,Psychische und Verhaltensstörungen durch Opioide
F12,Psychische und Verhaltensstörungen durch Cannabinoide
F13,Psychische und Verhaltensstörungen durch Sedativa oder Hypnotika
F14,Psychische und Verhaltensstörungen durch Kokain
F15,"Psychische und Verhaltensstörungen durch andere Stimulanzien, einschließlich Koffein"
F16,Psychische und Verhaltensstörungen durch Halluzinogene
F17,Psychische und Verhaltensstörungen durch Tabak
F18,Psychische und Verhaltensstörungen durch flüchtige Lösungsmittel
F19,Psychische und Verhaltensstörungen durch multiplen Substanzgebrauch und Konsum anderer psychotroper Substanzen
F20,Schizophrenie
F21,Schizotype Störung
F22,Anhaltende wahnhafte Störungen
F23,Akute vorübergehende psychotische Störungen
F24,Induzierte wahnhafte Störung
F25,Schizoaffektive Störungen
F28,Sonstige nichtorganische psychotische Störungen
F29,Nicht näher bezeichnete nichtorganische Psychose
F30,Manische Episode
F31,Bipolare affektive Störung
F32,Depressive Episode
F33,Rezidivierende depressive Störung
F34,Anhaltende affektive Störungen
F38,Andere affektive Störungen
F39,Nicht näher bezeichnete affektive Störung
F40,Phobische Störungen
F41,Andere Angststörungen
F42,Zwangsstörung
F43,Reaktionen auf schwere Belastungen und Anpassungsstörungen
F44,Dissoziative Störungen [Konversionsstörungen]
F45,Somatoforme Störungen
F48,Andere neurotische Störungen
F50,Essstörungen
F51,Nichtorganische Schlafstörungen
F52,"Sexuelle Funktionsstörungen, nicht verursacht durch eine organische Störung oder Krankheit"
F53,"Psychische oder Verhaltensstörungen im Wochenbett, anderenorts nicht klassifiziert"
F54,Psychologische Faktoren oder Verhaltensfaktoren bei anderenorts klassifizierten Krankheiten
F55,Schädlicher Gebrauch von nichtabhängigkeitserzeugenden Substanzen
F59,Nicht näher bezeichnete Verhaltensauffälligkeiten bei körperlichen Störungen und Faktoren
F60,Spezifische Persönlichkeitsstörungen
F61,Kombinierte und andere Persönlichkeitsstörungen
F62,"Andauernde Persönlichkeitsänderungen, nicht Folge einer Schädigung oder Krankheit des Gehirns"
F63,Abnorme Gewohnheiten und Störungen der Impulskontrolle
F64,Störungen der Geschlechtsidentität
F65,Störungen der Sexualpräferenz
F66,Psychische und Verhaltensstörungen in Verbindung mit der sexuellen Entwicklung und Orientierung
F68,Andere Persönlichkeits- und Verhaltensstörungen
F69,Nicht näher bezeichnete Persönlichkeits- und Verhaltensstörung
F70,Leichte Intelligenzminderung
F71,Mittelgradige Intelligenzminderung
F72,Schwere Intelligenzminderung
F73,Schwerste Intelligenzminderung
F74,Dissoziierte Intelligenz
F78,Andere Intelligenzminderung
F79,Nicht näher bezeichnete Intelligenzminderung
F80,Umschriebene Entwicklungsstörungen des Sprechens und der Sprache
F81,Umschriebene Entwicklungsstörungen schulischer Fertigkeiten
F82,Umschriebene Entwicklungsstörung der motorischen Funktionen
F83,Kombinierte umschriebene Entwicklungsstörungen
F84,Tief greifende Entwicklungsstörungen
F88,Andere Entwicklungsstörungen
F89,Nicht näher bezeichnete Entwicklungsstörung
F90,Hyperkinetische Störungen
F91,Störungen des Sozialverhaltens
F92,Kombinierte Störung des Sozialverhaltens und der Emotionen
F93,Emotionale Störungen des Kindesalters
F94,Störungen sozialer Funktionen mit Beginn in der Kindheit und Jugend
F95,Ticstörungen
F98,Andere Verhaltens- und emotionale Störungen mit Beginn in der Kindheit und Jugend
F99,Psychische Störung ohne nähere Angabe
G00,"Bakterielle Meningitis, anderenorts nicht klassifiziert"
G01,Meningitis bei anderenorts klassifizierten bakteriellen Krankheiten
G02,Meningitis bei sonstigen anderenorts klassifizierten infektiösen und parasitären Krankheiten
G03,Meningitis durch sonstige und nicht näher bezeichnete Ursachen
G04,"Enzephalitis, Myelitis und Enzephalomyelitis"
G05,"Enzephalitis, Myelitis und Enzephalomyelitis bei anderenorts klassifizierten Krankheiten"
G06,Intrakranielle und intraspinale Abszesse und Granulome
G07,Intrakranielle und intraspinale Abszesse und Granulome bei anderenorts klassifizierten Krankheiten
G08,Intrakranielle und intraspinale Phlebitis und Thrombophlebitis
G09,Folgen entzündlicher Krankheiten des Zentralnervensystems
G10,Chorea Huntington
G11,Hereditäre Ataxie
G12,Spinale Muskelatrophie und verwandte Syndrome
G13,"Systematrophien, vorwiegend das Zentralnervensystem betreffend, bei anderenorts klassifizierten Krankheiten"
G14,Postpolio-Syndrom
G20,Primäres Parkinson-Syndrom
G21,Sekundäres Parkinson-Syndrom
G22,Parkinson-Syndrom bei anderenorts klassifizierten Krankheiten
G23,Sonstige degenerative Krankheiten der Basalganglien
G24,Dystonie
G25,Sonstige extrapyramidale Krankheiten und Bewegungsstörungen
G26,Extrapyramidale Krankheiten und Bewegungsstörungen bei anderenorts klassifizierten Krankheiten
G30,Alzheimer-Krankheit
G31,"Sonstige degenerative Krankheiten des Nervensystems, anderenorts nicht klassifiziert"
G32,Sonstige degenerative Krankheiten des Nervensystems bei anderenorts klassifizierten Krankheiten
G35,Multiple Sklerose [Encephalomyelitis disseminata]
G36,Sonstige akute disseminierte Demyelinisation
G37,Sonstige demyelinisierende Krankheiten des Zentralnervensystems
G40,Epilepsie
G41,Status epilepticus
G43,Migräne
G44,Sonstige Kopfschmerzsyndrome
G45,Zerebrale transitorische Ischämie und verwandte Syndrome
G46,Zerebrale Gefäßsyndrome bei zerebrovaskulären Krankheiten
G47,Schlafstörungen
G50,Krankheiten des N. trigeminus [V. Hirnnerv]
G51,Krankheiten des N. facialis [VII. Hirnnerv]
G52,Krankheiten sonstiger Hirnnerven
G53,Krankheiten der Hirnnerven bei anderenorts klassifizierten Krankheiten
G54,Krankheiten von Nervenwurzeln und Nervenplexus
G55,Kompression von Nervenwurzeln und Nervenplexus bei anderenorts klassifizierten Krankheiten
G56,Mononeuropathien der oberen Extremität
G57,Mononeuropathien der unteren Extremität
G58,Sonstige Mononeuropathien
G59,Mononeuropathie bei anderenorts klassifizierten Krankheiten
G60,Hereditäre und idiopathische Neuropathie
G61,Polyneuritis
G62,Sonstige Polyneuropathien
G63,Polyneuropathie bei anderenorts klassifizierten Krankheiten
G64,Sonstige Krankheiten des peripheren Nervensystems
G70,Myasthenia gravis und sonstige neuromuskuläre Krankheiten
G71,Primäre Myopathien
G72,Sonstige Myopathien
G73,Krankheiten im Bereich der neuromuskulären Synapse und des Muskels bei anderenorts klassifizierten Krankheiten
G80,Infantile Zerebralparese
G81,Hemiparese und Hemiplegie
G82,"Paraparese und Paraplegie, Tetraparese und Tetraplegie"
G83,Sonstige Lähmungssyndrome
G90,Krankheiten des autonomen Nervensystems
G91,Hydrozephalus
